url,name,cost_text,rooms,parking,desc
https://www.domain.com.au/newtown-vic-3220-17027842,Newtown VIC 3220,Price on Application,"9 Beds, 9 Baths",8 Parking,* Unverified feature
https://www.domain.com.au/667-glenhuntly-road-caulfield-vic-3162-11598047,"667 Glenhuntly Road, Caulfield VIC 3162","$38,000 p.a. Incl. Outgoings + GST",,,Can you hear it? Opportunity knocking!!
https://www.domain.com.au/6501-35-queensbridge-street-southbank-vic-3006-16869807,"6501/35 Queensbridge Street, Southbank VIC 3006","$12,500 pw","4 Beds, 4 Baths",2 Parking,"Unparalleled space and bathed in natural light welcome to Penthouse 6501, a study in luxury and design of incomparable measure."
https://www.domain.com.au/7-jeffcott-street-west-melbourne-vic-3003-17038576,"7 Jeffcott Street, West Melbourne VIC 3003","$9,999 pw","5 Beds, 5 Baths",5 Parking,This ad is for Off - Market Property Application only.
https://www.domain.com.au/5604-1-queensbridge-square-southbank-vic-3006-16896370,"5604/1 Queensbridge Square, Southbank VIC 3006","$5,750.00","2 Beds, 2 Baths",2 Parking,"Luxurious 2-bedroom apartment plus study on the fifty-sixth floor with approximately 270 degrees of breathtaking city and bay views. This fully furnished executive residence boasts a stunning renovation, offering an ideal blend of comfort and sophistication not often seen in the rental market. The apartment was designed by Wardle Studio, one of Australia's leading architects. The fit out has won"
https://www.domain.com.au/14a-ethel-street-malvern-vic-3144-16398071,"14A Ethel Street, Malvern VIC 3144","Fully Furn - $5000 p/w, 3-Mos+ Lease, Avail Nov 18","4 Beds, 4 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/28a-300-point-cook-road-point-cook-vic-3030-16737664,"28A/300 Point Cook Road, Point Cook VIC 3030",5000,"2 Beds, 2 Baths",6 Parking,AAAAAA
https://www.domain.com.au/g01-16-kurneh-place-south-yarra-vic-3141-17068091,"G01/16 Kurneh Place, South Yarra VIC 3141",$4500 Per Week,"3 Beds, 3 Baths",3 Parking,"Partially furnished at $4500 Per WeekIncluding Electricity, Gas, Water, Internet & usage"
https://www.domain.com.au/1-tarver-st-port-melbourne-vic-3207-14253235,"1 Tarver St, Port Melbourne VIC 3207",$3900 pw Furnished,"4 Beds, 3 Baths",4 Parking,PROPERTY ID: 113044 (quote when calling)
https://www.domain.com.au/2301-15-caravel-lane-docklands-vic-3008-16975627,"2301/15 Caravel Lane, Docklands VIC 3008","$3,800.00 per week","5 Beds, 6 Baths",5 Parking,"Located in the heart of Melbourne's Docklands precinct, this is a one-of-a-kind property configured from two separate apartments that sits on the top floor of the Palladio building."
https://www.domain.com.au/39-canterbury-st-richmond-vic-3121-16807234,"39 Canterbury St, Richmond VIC 3121","$3,800 weekly","4 Beds, 4 Baths",3 Parking,"Beautiful new home - stylish and modern.Comprising 4 generous bedrooms, 3 with ensuites, 4 bathrooms in total.Two large living areas. Luxurious & spacious kitchen with European appliances.Additional outdoor kitchen and significant outdoor areas across all levels.5 person rooftop spa & a basement NY style bar with separate wine cellar.Not to mention, private elevator to all four levels."
https://www.domain.com.au/24b-kanowna-street-williamstown-vic-3016-16572886,"24B Kanowna Street, Williamstown VIC 3016","$3,750 Per Week","4 Beds, 3 Baths",− Parking,* Unverified feature
https://www.domain.com.au/3-3-hill-street-toorak-vic-3142-17175964,"3/3 Hill Street, Toorak VIC 3142","$3,375 per week","3 Beds, 3 Baths",2 Parking,"In a boutique development of 6 only, with city views from the stunning terrace, this apartment offers three bedrooms all with ensuites, fabulous flowing living spaces, a kitchen with the best appliances available including Wolf Liebherr and Miele, an executive study, powder room and a fully fitted laundry including drying cupboard and ironing station."
https://www.domain.com.au/18-astley-wynd-lynbrook-vic-3975-17085806,"18 Astley Wynd, Lynbrook VIC 3975","$3,302","0 Beds, 0 Baths",3 Parking,"Discover this modern family home with an expanse of open-plan living, high ceilings, and timber floating floors. Positioned in an excellent location only moments from Lynbrook Village Shopping Centre, schools, and transport."
https://www.domain.com.au/1-36-clarendon-st-east-melbourne-vic-3002-16665538,"1/36 Clarendon St, East Melbourne VIC 3002","$3,250.00","3 Beds, 2 Baths",2 Parking,"A landmark East Melbourne ground floor apartment of some 270 sqm is ""as new"", superbly presented and of magnificent proportions with restored original features.In a brilliant location on the corner of George and Clarendon Street. This 3 bedroom, 2 bathroom residence enjoys gracious views across Fitzroy Gardens to the City from both the large formal living room and adjacent kitchen. The apartment"
https://www.domain.com.au/22-hill-street-toorak-vic-3142-17082243,"22 Hill Street, Toorak VIC 3142","$3,200","5 Beds, 5 Baths",3 Parking,* Unverified feature
https://www.domain.com.au/67-drummond-street-carlton-vic-3053-16990944,"67 Drummond Street, Carlton VIC 3053",$2990 per week,"4 Beds, 3 Baths",1 Parking,"Behind this traditional 1870's Victorian Terrace, with its ornate balcony which has been lovingly restored to its former glory, lies a transformation that will leave you breathless."
